21,1
26,6
28,2
29,2
30,5
31,3
32,4
33,9
34,7
35,13
36,11
37,15
38,14
39,21
40,21
41,28
42,20
43,34
44,27
45,51
46,41
47,47
48,53
49,68
50,80
51,64
52,82
53,84
54,105
55,91
56,124
57,134
58,124
59,154
60,175
61,178
62,184
63,167
64,213
65,207
66,216
67,231
68,214
69,230
70,253
71,286
72,273
73,258
74,256
75,239
76,286
77,234
78,261
79,253
80,267
81,256
82,240
83,206
84,227
85,214
86,180
87,186
88,182
89,213
90,141
91,153
92,134
93,112
94,128
95,127
96,109
97,88
98,72
99,79
100,71
101,44
102,46
103,56
104,39
105,46
106,34
107,32
108,27
109,19
110,15
111,17
112,16
113,12
114,8
115,5
116,6
117,7
118,7
119,8
120,1
122,1
123,3
124,2
125,1
126,1
127,2
128,1
